Part,Operator,Rep,y
1,1,1,21
2,1,1,24
3,1,1,20
4,1,1,27
5,1,1,19
6,1,1,23
7,1,1,22
8,1,1,19
9,1,1,24
10,1,1,25
11,1,1,21
12,1,1,18
13,1,1,23
14,1,1,24
15,1,1,29
16,1,1,26
17,1,1,20
18,1,1,19
19,1,1,25
20,1,1,19
1,1,2,20
2,1,2,23
3,1,2,21
4,1,2,27
5,1,2,18
6,1,2,21
7,1,2,21
8,1,2,17
9,1,2,23
10,1,2,23
11,1,2,20
12,1,2,19
13,1,2,25
14,1,2,24
15,1,2,30
16,1,2,26
17,1,2,20
18,1,2,21
19,1,2,26
20,1,2,19
1,2,1,20
2,2,1,24
3,2,1,19
4,2,1,28
5,2,1,19
6,2,1,24
7,2,1,22
8,2,1,18
9,2,1,25
10,2,1,26
11,2,1,20
12,2,1,17
13,2,1,25
14,2,1,23
15,2,1,30
16,2,1,25
17,2,1,19
18,2,1,19
19,2,1,25
20,2,1,18
1,2,2,20
2,2,2,24
3,2,2,21
4,2,2,26
5,2,2,18
6,2,2,21
7,2,2,24
8,2,2,20
9,2,2,23
10,2,2,25
11,2,2,20
12,2,2,19
13,2,2,25
14,2,2,25
15,2,2,28
16,2,2,26
17,2,2,20
18,2,2,19
19,2,2,24
20,2,2,17
1,3,1,19
2,3,1,23
3,3,1,20
4,3,1,27
5,3,1,18
6,3,1,23
7,3,1,22
8,3,1,19
9,3,1,24
10,3,1,24
11,3,1,21
12,3,1,18
13,3,1,25
14,3,1,24
15,3,1,31
16,3,1,25
17,3,1,20
18,3,1,21
19,3,1,25
20,3,1,19
1,3,2,21
2,3,2,24
3,3,2,22
4,3,2,28
5,3,2,21
6,3,2,22
7,3,2,20
8,3,2,18
9,3,2,24
10,3,2,25
11,3,2,20
12,3,2,19
13,3,2,25
14,3,2,25
15,3,2,30
16,3,2,27
17,3,2,20
18,3,2,23
19,3,2,25
20,3,2,17
